date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-01-01 00:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,23,21,27,0,27,0.0,1020,21,10,52,16,karachi
2016-01-01 01:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,22,21,28,0,28,0.0,1020,21,10,51,16,karachi
2016-01-01 02:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,21,21,29,0,28,0.0,1020,21,10,51,16,karachi
2016-01-01 03:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,21,21,30,0,29,0.0,1020,21,10,50,17,karachi
2016-01-01 04:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,21,21,28,0,29,0.0,1020,21,10,51,16,karachi
2016-01-01 05:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,2,21,21,21,27,0,30,0.0,1021,21,10,51,16,karachi
2016-01-01 06:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,3,21,21,21,25,0,30,0.0,1021,21,10,52,15,karachi
2016-01-01 07:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,3,23,23,23,21,0,27,0.0,1022,23,10,51,14,karachi
2016-01-01 08:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,3,24,24,25,17,0,25,0.0,1022,25,10,50,12,karachi
2016-01-01 09:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,4,26,26,27,12,0,22,0.0,1022,27,10,49,11,karachi
2016-01-01 10:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,5,27,27,29,11,0,22,0.0,1021,29,10,153,9,karachi
2016-01-01 11:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,7,29,29,30,9,0,23,0.0,1020,30,10,256,8,karachi
2016-01-01 12:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,8,30,30,32,8,0,23,0.0,1019,32,10,359,7,karachi
2016-01-01 13:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,9,30,30,32,9,0,23,0.0,1019,32,10,337,7,karachi
2016-01-01 14:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,9,30,30,32,9,0,24,0.0,1019,32,10,316,8,karachi
2016-01-01 15:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,9,31,31,32,10,0,24,0.0,1018,32,10,294,9,karachi
2016-01-01 16:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,10,29,29,31,10,0,28,0.0,1019,31,10,304,8,karachi
2016-01-01 17:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,10,28,28,29,11,0,32,0.0,1019,29,10,314,8,karachi
2016-01-01 18:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,11,27,27,28,11,0,36,0.0,1020,28,10,325,8,karachi
2016-01-01 19:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,11,27,27,27,10,0,36,0.0,1020,27,10,250,7,karachi
2016-01-01 20:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,10,26,26,26,8,0,36,0.0,1020,26,10,175,6,karachi
2016-01-01 21:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,9,25,25,26,7,0,36,0.0,1021,26,10,100,5,karachi
2016-01-01 22:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,9,25,25,25,7,0,35,0.0,1021,25,10,97,6,karachi
2016-01-01 23:00:00,32,21,0.0,8.7,7,50,No moonrise,11:52 AM,07:17 AM,05:54 PM,8,25,25,25,8,0,34,0.0,1021,25,10,95,6,karachi
2016-01-02 00:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,7,24,24,24,8,0,32,0.0,1021,24,10,92,7,karachi
2016-01-02 01:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,6,24,24,24,8,0,32,0.0,1020,24,10,91,7,karachi
2016-01-02 02:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,6,24,24,23,8,0,32,0.0,1020,23,10,89,7,karachi
2016-01-02 03:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,5,24,24,23,8,0,32,0.0,1020,23,10,88,7,karachi
2016-01-02 04:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,5,24,24,23,8,0,32,0.0,1021,23,10,86,7,karachi
2016-01-02 05:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,5,24,24,23,8,0,31,0.0,1021,23,10,85,7,karachi
2016-01-02 06:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,5,24,24,23,8,0,30,0.0,1022,23,10,84,7,karachi
2016-01-02 07:00:00,33,23,0.0,8.7,7,43,12:16 AM,12:26 PM,07:17 AM,05:55 PM,5,25,25,25,6,0,28,0.0,1022,25,10,82,5,karachi
